Authors,Gas holdup,Column diameter(m),Liquid height (m),Sparger hole diameter (m),Sparger Encode,%FA,Density of Gas (kg/m3),Viscosity of Gas (Pa.s),Molecular Weight of gas (kg/kmol),Density of Liquid (kg/m3),Viscosity of Liquid (Pa.s),Surface Tension of Liquid (N/m),i+ (k.ion/m3),Temperature (K),Pressure (kPa),Superficial gas velocity (m/s)
Braulick et al 1965,0.0294,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0172
Braulick et al 1965,0.0414,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0261
Braulick et al 1965,0.0601,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0347
Braulick et al 1965,0.0795,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0423
Braulick et al 1965,0.0945,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0511
Braulick et al 1965,0.1054,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0595
Braulick et al 1965,0.128,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0683
Braulick et al 1965,0.1451,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0787
Braulick et al 1965,0.152,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0855
Braulick et al 1965,0.1901,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0994
Braulick et al 1965,0.197,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1135
Braulick et al 1965,0.2245,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1274
Braulick et al 1965,0.255,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.155
